code,name,description,refreshed_at,from_date,to_date
CNX_CONSUMPTION,National Stock Exchange of India (NSE) Stock Index - CNX Consumption,"Historical indexes for CNX Consumption  (CNX_CONSUMPTION), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2006-01-02,2018-12-10
CNX_DEFTY,National Stock Exchange of India (NSE) Stock Index - CNX Defty,"Historical indexes for CNX Defty (CNX_DEFTY), National Stock Exchange of India (NSE).",2015-11-06 14:00:32,1990-08-03,2015-11-06
CNX_DIVIDEND_OPPT,National Stock Exchange of India (NSE) Stock Index - CNX Dividend Opportunities,"Historical indexes for CNX Dividend Opportunities (CNX_DIVIDEND_OPPT), National Stock Exchange of India (NSE).",2018-12-10 15:01:08,2007-10-01,2018-12-10
CNX_ENERGY,National Stock Exchange of India (NSE) Stock Index - CNX Energy,"Historical indexes for CNX Energy (CNX_ENERGY), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2001-01-01,2018-12-10
CNX_FINANCE,National Stock Exchange of India (NSE) Stock Index - CNX Finance,"Historical indexes for CNX Finance (CNX_FINANCE), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2004-01-01,2018-12-10
CNX_FMCG,National Stock Exchange of India (NSE) Stock Index - CNX FMCG,"Historical indexes for CNX FMCG (CNX_FMCG), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,1996-01-01,2018-12-10
CNX_HIGH_BETA,National Stock Exchange of India (NSE) Stock Index - CNX High Beta,"Historical indexes for CNX High Beta (CNX_HIGH_BETA), National Stock Exchange of India (NSE).",2018-12-10 15:01:08,2003-12-31,2018-12-10
CNX_INFRA,National Stock Exchange of India (NSE) Stock Index - CNX Infrastructure,"Historical indexes for CNX Infrastructure (CNX_INFRA), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2004-01-01,2018-12-10
CNX_IT,National Stock Exchange of India (NSE) Stock Index - CNX IT,"Historical indexes for CNX IT (CNX_IT), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,1996-01-01,2018-12-10
CNX_LOW_VOLATILITY,National Stock Exchange of India (NSE) Stock Index - CNX Low Volatility,"Historical indexes for CNX Low Volatility (CNX_LOW_VOLATILITY), National Stock Exchange of India (NSE).",2018-12-10 15:01:08,2003-12-31,2018-12-10
CNX_MEDIA,National Stock Exchange of India (NSE) Stock Index - CNX Media,"Historical indexes for CNX Media (CNX_MEDIA), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2005-12-30,2018-12-10
CNX_METAL,National Stock Exchange of India (NSE) Stock Index - CNX Metal,"Historical indexes for CNX Metal (CNX_METAL), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2004-01-01,2018-12-10
CNX_MIDCAP,National Stock Exchange of India (NSE) Stock Index - CNX Midcap,"Historical indexes for CNX Midcap (CNX_MIDCAP), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2001-01-01,2018-12-10
CNX_MNC,National Stock Exchange of India (NSE) Stock Index - CNX MNC,"Historical indexes for CNX MNC (CNX_MNC), National Stock Exchange of India (NSE).",2018-12-10 15:01:08,1995-01-02,2018-12-10
CNX_NIFTY,National Stock Exchange of India (NSE) Stock Index - CNX Nifty,"Historical indexes for CNX Nifty (CNX_NIFTY), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,1990-07-03,2018-12-10
CNX_NIFTY_JUNIOR,National Stock Exchange of India (NSE) Stock Index - Junior Nifty,"Historical indexes for Junior Nifty (CNX_NIFTY_JUNIOR), National Stock Exchange of India (NSE).",2015-11-06 14:00:31,1995-10-04,2015-11-06
CNX_NIFTY_SHARIAH,National Stock Exchange of India (NSE) Stock Index - CNX Nifty Shariah,"Historical indexes for CNX Nifty Shariah (CNX_NIFTY_SHARIAH), National Stock Exchange of India (NSE).",2018-12-10 15:01:08,2006-12-29,2018-12-10
CNX_PHARMA,National Stock Exchange of India (NSE) Stock Index - CNX Pharma,"Historical indexes for CNX Pharma (CNX_PHARMA), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2001-01-01,2018-12-10
CNX_PSE,National Stock Exchange of India (NSE) Stock Index - CNX PSE,"Historical indexes for CNX PSE (CNX_PSE), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,1995-01-02,2018-12-10
CNX_PSU_BANK,National Stock Exchange of India (NSE) Stock Index - CNX PSU Bank,"Historical indexes for CNX PSU Bank (CNX_PSU_BANK), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2004-01-01,2018-12-10
CNX_REALTY,National Stock Exchange of India (NSE) Stock Index - CNX Realty,"Historical indexes for CNX Realty (CNX_REALTY), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2006-12-29,2018-12-10
CNX_SERVICE,National Stock Exchange of India (NSE) Stock Index - CNX Service Sector,"Historical indexes for CNX Service Sector (CNX_SERVICE), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,1999-06-01,2018-12-10
CNX_SHARIAH25,National Stock Exchange of India (NSE) Stock Index - CNX Shariah25,"Historical indexes for CNX Shariah25 (CNX_SHARIAH25), National Stock Exchange of India (NSE).",2018-12-10 15:01:08,2009-01-01,2018-12-10
CNX_SMALLCAP,National Stock Exchange of India (NSE) Stock Index - CNX Smallcap,"Historical indexes for CNX Smallcap (CNX_SMALLCAP), National Stock Exchange of India (NSE).",2016-12-20 19:33:08,2004-01-01,2016-03-31
COALINDIA,Coal India Limited,Historical prices for Coal India Limited<br><br>National Stock Exchange of India<br><br>Ticker: COALINDIA<br><br>ISIN: INE522F01014,2018-12-10 13:38:56,2010-11-04,2018-12-10
COCHINSHIP,Cochin Shipyard Limited,Historical prices for Cochin Shipyard Limited<br><br>National Stock Exchange of India<br><br>Ticker: COCHINSHIP<br><br>ISIN: INE704P01017,2018-12-10 13:38:56,2017-08-11,2018-12-10
COFFEEDAY,Coffee Day Enterprises Limited,Historical prices for Coffee Day Enterprises Limited<br><br>National Stock Exchange of India<br><br>Ticker: COFFEEDAY<br><br>ISIN: INE335K01011,2018-12-10 13:38:56,2015-11-02,2018-12-10
COLPAL,Colgate Palmolive (India) Limited,Historical prices for Colgate Palmolive (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: COLPAL<br><br>ISIN: INE259A01022,2018-12-10 13:38:56,2007-12-17,2018-12-10
COMPINFO,Compuage Infocom Limited,Historical prices for Compuage Infocom Limited<br><br>National Stock Exchange of India<br><br>Ticker: COMPINFO<br><br>ISIN: INE070C01037,2018-12-10 13:38:56,2016-07-07,2018-12-10
COMPUAGE,Compuage Infocom Limited,"Historical prices for Compuage Infocom Limited (COMPUAGE), (ISIN: INE070C01029),  National Stock Exchange of India.",2015-03-09 09:29:51,2010-10-01,2015-01-29
COMPUSOFT,Compucom Software Limited,Historical prices for Compucom Software Limited<br><br>National Stock Exchange of India<br><br>Ticker: COMPUSOFT<br><br>ISIN: INE453B01029,2018-12-10 13:38:56,2012-03-02,2018-12-10
CONCOR,Container Corporation of India Limited,Historical prices for Container Corporation of India Limited<br><br>National Stock Exchange of India<br><br>Ticker: CONCOR<br><br>ISIN: INE111A01025,2018-12-10 13:38:56,1998-03-09,2018-12-10
CONSOFINVT,Consolidated Finvest & Holdings Limited,Historical prices for Consolidated Finvest & Holdings Limited<br><br>National Stock Exchange of India<br><br>Ticker: CONSOFINVT<br><br>ISIN: INE025A01027,2018-12-10 13:38:56,2005-03-29,2018-12-10
CONTROLPR,Control Print Limited,Historical prices for Control Print Limited<br><br>National Stock Exchange of India<br><br>Ticker: CONTROLPR<br><br>ISIN: INE663B01015,2018-12-10 13:38:56,2016-06-24,2018-12-10
CORALFINAC,Coral India Finance & Housing Limited,Historical prices for Coral India Finance & Housing Limited<br><br>National Stock Exchange of India<br><br>Ticker: CORALFINAC<br><br>ISIN: INE558D01021,2018-12-10 13:38:56,2017-03-29,2018-12-10
CORAL_HUB,Coral Hub Limited,"Historical prices for Coral Hub Limited (CORAL-HUB), (ISIN: INE108J01030),  National Stock Eschange of India.",2017-03-10 21:56:59,2011-02-25,2012-06-26
CORDSCABLE,Cords Cable Industries Limited,Historical prices for Cords Cable Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: CORDSCABLE<br><br>ISIN: INE792I01017,2018-12-10 13:38:56,2008-02-13,2018-12-10
COREEDUTEC,CORE Education & Technologies Limited,Historical prices for CORE Education & Technologies Limited<br><br>National Stock Exchange of India<br><br>Ticker: COREEDUTEC<br><br>ISIN: INE247G01024,2016-01-11 13:38:06,2011-09-07,2016-01-11
COROENGG,Coromandel Engineering Company Limited,"Historical prices for Coromandel Engineering Company Limited (COROENGG), (ISIN: INE312J01012),  National Stock Exchange of India.",2015-03-09 09:46:31,2011-02-17,2015-01-29
COROMANDEL,Coromandel International Limited,Historical prices for Coromandel International Limited<br><br>National Stock Exchange of India<br><br>Ticker: COROMANDEL<br><br>ISIN: INE169A01031,2018-12-10 13:38:56,2009-10-12,2018-12-10
CORPBANK,Corporation Bank,Historical prices for Corporation Bank<br><br>National Stock Exchange of India<br><br>Ticker: CORPBANK<br><br>ISIN: INE112A01023,2018-12-10 13:38:56,1998-03-20,2018-12-10
COSMOFILMS,Cosmo Films Limited,Historical prices for Cosmo Films Limited<br><br>National Stock Exchange of India<br><br>Ticker: COSMOFILMS<br><br>ISIN: INE757A01017,2018-12-10 13:38:56,1998-03-20,2018-12-10
COUNCODOS,Country Condo's Limited,Historical prices for Country Condo's Limited<br><br>National Stock Exchange of India<br><br>Ticker: COUNCODOS<br><br>ISIN: INE695B01025,2018-12-10 13:38:56,2012-08-31,2018-12-10
COXKINGS,Cox & Kings Limited,Historical prices for Cox & Kings Limited<br><br>National Stock Exchange of India<br><br>Ticker: COXKINGS<br><br>ISIN: INE008I01026,2018-12-10 13:38:56,2009-12-11,2018-12-10
CPIL,Career Point Infosystems Limited,"Historical prices for Career Point Infosystems Limited (CPIL), (ISIN: INE521J01018),  National Stock Eschange of India.",2017-03-10 21:56:56,2010-10-06,2011-11-15
CPSEETF,CPSE ETF*,Historical prices for CPSE ETF*<br><br>National Stock Exchange of India<br><br>Ticker: CPSEETF<br><br>ISIN: INF457M01133,2018-12-10 13:38:56,2014-04-04,2018-12-10
CPSE_INDEX,National Stock Exchange of India (NSE) Stock Index - CPSE,"Historical indexes for CPSE (CPSE_INDEX), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2004-01-01,2018-12-10
CREATIVEYE,Creative Eye Limited,Historical prices for Creative Eye Limited<br><br>National Stock Exchange of India<br><br>Ticker: CREATIVEYE<br><br>ISIN: INE230B01021,2016-07-13 13:53:43,2000-12-20,2016-07-08
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Historical prices for CREDITACCESS GRAMEEN LIMITED<br><br>National Stock Exchange of India<br><br>Ticker: CREDITACC<br><br>ISIN: INE741K01010,2018-12-10 13:38:56,2018-08-23,2018-12-10
CREST,Crest Ventures Limited,Historical prices for Crest Ventures Limited<br><br>National Stock Exchange of India<br><br>Ticker: CREST<br><br>ISIN: INE559D01011,2018-12-10 13:38:56,2014-11-17,2018-12-10
CRESTANI,Crest Animation Studios Limited,"Historical prices for Crest Animation Studios Limited (CRESTANI), (ISIN: INE774A01012),  National Stock Exchange of India.",2014-10-06 18:44:33,2005-01-04,2014-07-08
CREWBOS,Crew B.O.S. Products Limited,"Historical prices for Crew B.O.S. Products Limited (CREWBOS), (ISIN: INE514G01019),  National Stock Exchange of India.",2014-03-31 17:31:44,2004-09-24,2013-09-16
CRISIL,CRISIL Limited,Historical prices for CRISIL Limited<br><br>National Stock Exchange of India<br><br>Ticker: CRISIL<br><br>ISIN: INE007A01025,2018-12-10 13:38:56,1998-03-20,2018-12-10
CRMFGETF,Canara Robeco Mutual Fund - Canara Robeco - Gold ETF,Historical prices for Canara Robeco Mutual Fund - Canara Robeco - Gold ETF<br><br>National Stock Exchange of India<br><br>Ticker: CRMFGETF<br><br>ISIN: INF760K01BR1,2018-12-10 13:38:56,2012-03-27,2018-12-10
CROMPGREAV,Crompton Greaves Limited,Historical prices for Crompton Greaves Limited<br><br>National Stock Exchange of India<br><br>Ticker: CROMPGREAV<br><br>ISIN: INE067A01029,2017-03-07 12:42:57,1998-03-20,2017-03-07
CROMPTON,Crompton Greaves Consumer Electricals Limited,Historical prices for Crompton Greaves Consumer Electricals Limited<br><br>National Stock Exchange of India<br><br>Ticker: CROMPTON<br><br>ISIN: INE299U01018,2018-12-10 13:38:56,2016-05-27,2018-12-10
CRONIMET,Cronimet Alloys India Limited,"Historical prices for Cronimet Alloys India Limited (CRONIMET), (ISIN: INE592I01029),  National Stock Eschange of India.",2017-03-10 21:56:56,2010-06-02,2012-03-30
CTE,Cambridge Technology Enterprises Limited,Historical prices for Cambridge Technology Enterprises Limited<br><br>National Stock Exchange of India<br><br>Ticker: CTE<br><br>ISIN: INE627H01017,2018-12-10 13:38:56,2007-02-07,2018-12-10
CUB,City Union Bank Limited,Historical prices for City Union Bank Limited<br><br>National Stock Exchange of India<br><br>Ticker: CUB<br><br>ISIN: INE491A01021,2018-12-10 13:38:56,1998-09-09,2018-12-10
CUBEXTUB,Cubex Tubings Limited,Historical prices for Cubex Tubings Limited<br><br>National Stock Exchange of India<br><br>Ticker: CUBEXTUB<br><br>ISIN: INE144D01012,2018-12-10 13:38:56,1998-03-20,2018-12-10
CUMMINSIND,Cummins India Limited,Historical prices for Cummins India Limited<br><br>National Stock Exchange of India<br><br>Ticker: CUMMINSIND<br><br>ISIN: INE298A01020,2018-12-10 13:38:56,2005-06-17,2018-12-10
CUPID,Cupid Limited,Historical prices for Cupid Limited<br><br>National Stock Exchange of India<br><br>Ticker: CUPID<br><br>ISIN: INE509F01011,2018-12-10 13:38:56,2016-09-16,2018-12-10
CURATECH,Cura Technologies Limited,Historical prices for Cura Technologies Limited<br><br>National Stock Exchange of India<br><br>Ticker: CURATECH<br><br>ISIN: INE117B01012,2018-12-10 13:38:56,2010-11-23,2018-12-10
CYBERMEDIA,Cyber Media (India) Limited,Historical prices for Cyber Media (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: CYBERMEDIA<br><br>ISIN: INE278G01037,2018-12-10 13:38:56,2005-06-10,2018-12-10
CYBERTECH,Cybertech Systems And Software Limited,Historical prices for Cybertech Systems And Software Limited<br><br>National Stock Exchange of India<br><br>Ticker: CYBERTECH<br><br>ISIN: INE214A01019,2018-12-10 13:38:56,1999-01-27,2018-12-10
CYIENT,Cyient Limited,Historical prices for Cyient Limited<br><br>National Stock Exchange of India<br><br>Ticker: CYIENT<br><br>ISIN: INE136B01020,2018-12-10 13:38:56,2014-05-22,2018-12-10
DAAWAT,LT Foods Limited,Historical prices for LT Foods Limited<br><br>National Stock Exchange of India<br><br>Ticker: DAAWAT<br><br>ISIN: INE818H01020,2018-12-10 13:38:56,2006-12-18,2018-12-10
DABUR,Dabur India Limited,Historical prices for Dabur India Limited<br><br>National Stock Exchange of India<br><br>Ticker: DABUR<br><br>ISIN: INE016A01026,2018-12-10 13:38:56,1998-03-20,2018-12-10
DALMIABEL,Dalmia Bharat Enterprises Limited,"Historical prices for Dalmia Bharat Enterprises Limited (DALMIABEL), (ISIN: INE439L01019),  National Stock Exchange of India.",2014-03-31 18:00:51,2011-01-27,2013-01-08
DALMIABHA,Dalmia Bharat Limited,Historical prices for Dalmia Bharat Limited<br><br>National Stock Exchange of India<br><br>Ticker: DALMIABHA<br><br>ISIN: INE439L01019,2018-11-28 13:40:44,2013-01-09,2018-11-28
DALMIAREF,Dalmia Refractories Limited,"Historical prices for Dalmia Refractories Limited (DALMIAREF), (ISIN: INE200F01017),  National Stock Exchange of India.",2015-03-09 09:18:10,2014-05-22,2015-01-29
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Historical prices for Dalmia Bharat Sugar and Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: DALMIASUG<br><br>ISIN: INE495A01022,2018-12-10 13:38:56,2010-09-30,2018-12-10
DAMODARIND,Damodar Industries Limited,Historical prices for Damodar Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: DAMODARIND<br><br>ISIN: INE497D01022,2018-12-10 13:38:56,2016-07-04,2018-12-10
DATAMATICS,Datamatics Global Services Limited,Historical prices for Datamatics Global Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: DATAMATICS<br><br>ISIN: INE365B01017,2018-12-10 13:38:56,2009-04-20,2018-12-10
DBCORP,D.B.Corp Limited,Historical prices for D.B.Corp Limited<br><br>National Stock Exchange of India<br><br>Ticker: DBCORP<br><br>ISIN: INE950I01011,2018-12-10 13:38:56,2010-01-06,2018-12-10
DBL,Dilip Buildcon Limited,Historical prices for Dilip Buildcon Limited<br><br>National Stock Exchange of India<br><br>Ticker: DBL<br><br>ISIN: INE917M01012,2018-12-10 13:38:56,2016-08-11,2018-12-10
DBREALTY,D B Realty Limited,Historical prices for D B Realty Limited<br><br>National Stock Exchange of India<br><br>Ticker: DBREALTY<br><br>ISIN: INE879I01012,2018-12-10 13:38:56,2010-02-24,2018-12-10
DBSTOCKBRO,DB (International) Stock Brokers Limited,Historical prices for DB (International) Stock Brokers Limited<br><br>National Stock Exchange of India<br><br>Ticker: DBSTOCKBRO<br><br>ISIN: INE921B01025,2018-12-10 13:38:56,2012-02-29,2018-12-10
DCAL,Dishman Carbogen Amcis Limited,Historical prices for Dishman Carbogen Amcis Limited<br><br>National Stock Exchange of India<br><br>Ticker: DCAL<br><br>ISIN: INE385W01011,2018-12-10 13:38:56,2017-09-21,2018-12-10
DCB,Development Credit Bank Limited,"Historical prices for Development Credit Bank Limited (DCB), (ISIN: INE503A01015),  National Stock Exchange of India.",2014-04-14 09:46:55,2006-10-27,2014-01-14
DCBBANK,DCB Bank Limited,Historical prices for DCB Bank Limited<br><br>National Stock Exchange of India<br><br>Ticker: DCBBANK<br><br>ISIN: INE503A01015,2018-12-10 13:38:56,2014-01-15,2018-12-10
DCHL,Deccan Chronicle Holdings Limited,"Historical prices for Deccan Chronicle Holdings Limited (DCHL), (ISIN: INE137G01027),  National Stock Exchange of India.",2014-03-31 18:06:58,2004-12-22,2013-01-22
DCM,DCM Limited,Historical prices for DCM Limited<br><br>National Stock Exchange of India<br><br>Ticker: DCM<br><br>ISIN: INE498A01018,2018-12-10 13:38:56,1998-03-20,2018-12-10
DCMFINSERV,DCM Financial Services Limited,Historical prices for DCM Financial Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: DCMFINSERV<br><br>ISIN: INE891B01012,2018-07-13 13:45:38,2018-04-26,2018-07-05
DCMSHRIRAM,DCM Shriram Limited,Historical prices for DCM Shriram Limited<br><br>National Stock Exchange of India<br><br>Ticker: DCMSHRIRAM<br><br>ISIN: INE499A01024,2018-12-10 13:38:56,2014-03-13,2018-12-10
DCMSRMCONS,DCM Shriram Consolidated Limited,"Historical prices for DCM Shriram Consolidated Limited (DCMSRMCONS), (ISIN: INE499A01024),  National Stock Exchange of India.",2014-06-10 16:42:35,1998-03-19,2014-03-12
DCW,DCW Limited,Historical prices for DCW Limited<br><br>National Stock Exchange of India<br><br>Ticker: DCW<br><br>ISIN: INE500A01029,2018-12-10 13:38:56,1998-03-20,2018-12-10
DECCANCE,Deccan Cements Limited,Historical prices for Deccan Cements Limited<br><br>National Stock Exchange of India<br><br>Ticker: DECCANCE<br><br>ISIN: INE583C01021,2018-12-10 13:38:56,2007-08-02,2018-12-10
DECOLIGHT,Decolight Ceramics Limited,"Historical prices for Decolight Ceramics Limited (DECOLIGHT), (ISIN: INE172I01012),  National Stock Exchange of India.",2015-03-09 08:43:34,2007-06-19,2015-03-05
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Historical prices for Deepak Fertilizers and Petrochemicals Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: DEEPAKFERT<br><br>ISIN: INE501A01019,2018-12-10 13:38:56,1998-03-20,2018-12-10
DEEPAKNTR,Deepak Nitrite Limited,Historical prices for Deepak Nitrite Limited<br><br>National Stock Exchange of India<br><br>Ticker: DEEPAKNTR<br><br>ISIN: INE288B01029,2018-12-10 13:38:56,2010-09-29,2018-12-10
DEEPIND,Deep Industries Limited,Historical prices for Deep Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: DEEPIND<br><br>ISIN: INE677H01012,2018-12-10 13:38:56,2010-03-09,2018-12-10
DELTACORP,Delta Corp Limited,Historical prices for Delta Corp Limited<br><br>National Stock Exchange of India<br><br>Ticker: DELTACORP<br><br>ISIN: INE124G01033,2018-12-10 13:38:56,2008-12-11,2018-12-10
DELTAMAGNT,Delta Magnets Limited,Historical prices for Delta Magnets Limited<br><br>National Stock Exchange of India<br><br>Ticker: DELTAMAGNT<br><br>ISIN: INE393A01011,2018-12-10 13:38:56,2008-12-22,2018-12-10
DEN,Den Networks Limited,Historical prices for Den Networks Limited<br><br>National Stock Exchange of India<br><br>Ticker: DEN<br><br>ISIN: INE947J01015,2018-12-10 13:38:56,2009-11-24,2018-12-10
DENABANK,Dena Bank,Historical prices for Dena Bank<br><br>National Stock Exchange of India<br><br>Ticker: DENABANK<br><br>ISIN: INE077A01010,2018-12-10 13:38:56,1998-03-20,2018-12-10
DENORA,De Nora India Limited,Historical prices for De Nora India Limited<br><br>National Stock Exchange of India<br><br>Ticker: DENORA<br><br>ISIN: INE244A01016,2018-12-10 13:38:56,2007-08-21,2018-12-10
DENSO,Denso India Limited,"Historical prices for Denso India Limited (DENSO), (ISIN: INE502A01017),  National Stock Exchange of India.",2014-03-31 18:06:57,2010-06-30,2013-10-28
DEWANHOUS,Dewan Housing Finance Corporation Limited,"Historical prices for Dewan Housing Finance Corporation Limited (DEWANHOUS), (ISIN: INE202B01012),  National Stock Eschange of India.",2017-03-10 21:57:02,1998-03-20,2012-05-21
DFMFOODS,DFM Foods Limited,Historical prices for DFM Foods Limited<br><br>National Stock Exchange of India<br><br>Ticker: DFMFOODS<br><br>ISIN: INE456C01020,2018-12-10 13:38:56,2016-12-29,2018-12-10
DHAMPURSUG,Dhampur Sugar Mills Limited,Historical prices for Dhampur Sugar Mills Limited<br><br>National Stock Exchange of India<br><br>Ticker: DHAMPURSUG<br><br>ISIN: INE041A01016,2018-12-10 13:38:56,1998-03-20,2018-12-10
DHANBANK,Dhanlaxmi Bank Limited,Historical prices for Dhanlaxmi Bank Limited<br><br>National Stock Exchange of India<br><br>Ticker: DHANBANK<br><br>ISIN: INE680A01011,2018-12-10 13:38:56,2004-04-01,2018-12-10
DHANUKA,Dhanuka Agritech Limited,Historical prices for Dhanuka Agritech Limited<br><br>National Stock Exchange of India<br><br>Ticker: DHANUKA<br><br>ISIN: INE435G01025,2018-12-10 13:38:56,2011-06-29,2018-12-10
DHANUS,Dhanus Technologies Limited,"Historical prices for Dhanus Technologies Limited (DHANUS), (ISIN: INE406H01016),  National Stock Exchange of India.",2014-03-31 17:26:48,2007-10-17,2013-09-16
DHARSUGAR,Dharani Sugars & Chemicals Limited,Historical prices for Dharani Sugars & Chemicals Limited<br><br>National Stock Exchange of India<br><br>Ticker: DHARSUGAR<br><br>ISIN: INE988C01014,2018-12-10 13:38:56,1998-03-20,2018-12-10
DHFL,Dewan Housing Finance Corporation Limited,Historical prices for Dewan Housing Finance Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: DHFL<br><br>ISIN: INE202B01012,2018-12-10 13:38:56,2012-05-22,2018-12-10
DHUNINV,Dhunseri Investments Limited,Historical prices for Dhunseri Investments Limited<br><br>National Stock Exchange of India<br><br>Ticker: DHUNINV<br><br>ISIN: INE320L01011,2018-12-10 13:38:56,2011-03-18,2018-12-10
DIAMONDYD,Prataap Snacks Limited,Historical prices for Prataap Snacks Limited<br><br>National Stock Exchange of India<br><br>Ticker: DIAMONDYD<br><br>ISIN: INE393P01035,2018-12-10 13:38:56,2017-10-05,2018-12-10
DIAPOWER,Diamond Power Infra Ltd,Historical prices for Diamond Power Infra Ltd<br><br>National Stock Exchange of India<br><br>Ticker: DIAPOWER<br><br>ISIN: INE989C01012,2018-12-10 13:38:56,2010-09-29,2018-12-10
DICIND,DIC India Limited,Historical prices for DIC India Limited<br><br>National Stock Exchange of India<br><br>Ticker: DICIND<br><br>ISIN: INE303A01010,2018-12-10 13:38:56,2004-09-06,2018-12-10
DIGJAM,Digjam Limited,Historical prices for Digjam Limited<br><br>National Stock Exchange of India<br><br>Ticker: DIGJAM<br><br>ISIN: INE471A01023,2016-03-29 13:27:47,2008-04-28,2016-03-29
DIGJAMLTD,Digjam Limited,Historical prices for Digjam Limited<br><br>National Stock Exchange of India<br><br>Ticker: DIGJAMLTD<br><br>ISIN: INE731U01010,2018-12-10 13:38:56,2016-07-27,2018-12-10
DISHMAN,Dishman Pharmaceuticals and Chemicals Limited,Historical prices for Dishman Pharmaceuticals and Chemicals Limited<br><br>National Stock Exchange of India<br><br>Ticker: DISHMAN<br><br>ISIN: INE353G01020,2017-05-29 13:24:57,2004-04-22,2017-05-29
DISHTV,Dish TV India Limited,Historical prices for Dish TV India Limited<br><br>National Stock Exchange of India<br><br>Ticker: DISHTV<br><br>ISIN: INE836F01026,2018-12-10 13:38:56,2007-04-18,2018-12-10
DIVISLAB,Divi's Laboratories Limited,Historical prices for Divi's Laboratories Limited<br><br>National Stock Exchange of India<br><br>Ticker: DIVISLAB<br><br>ISIN: INE361B01024,2018-12-10 13:38:56,2003-03-12,2018-12-10
DIXON,Dixon Technologies (India) Limited,Historical prices for Dixon Technologies (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: DIXON<br><br>ISIN: INE935N01012,2018-12-10 13:38:56,2017-09-18,2018-12-10
DLF,DLF Limited,Historical prices for DLF Limited<br><br>National Stock Exchange of India<br><br>Ticker: DLF<br><br>ISIN: INE271C01023,2018-12-10 13:38:56,2007-07-05,2018-12-10
DLINKINDIA,D-Link (India) Limited,Historical prices for D-Link (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: DLINKINDIA<br><br>ISIN: INE250K01012,2018-12-10 13:38:56,2009-12-18,2018-12-10
DMART,Avenue Supermarts Limited,Historical prices for Avenue Supermarts Limited<br><br>National Stock Exchange of India<br><br>Ticker: DMART<br><br>ISIN: INE192R01011,2018-12-10 13:38:56,2017-03-21,2018-12-10
DNAMEDIA,Diligent Media Corporation Limited,Historical prices for Diligent Media Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: DNAMEDIA<br><br>ISIN: INE016M01021,2018-12-10 13:38:56,2017-12-11,2018-12-10
DOLLAR,Dollar Industries Limited,Historical prices for Dollar Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: DOLLAR<br><br>ISIN: INE325C01035,2018-12-10 13:38:56,2017-04-21,2018-12-10
DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,Historical prices for Dolphin Offshore Enterprises (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: DOLPHINOFF<br><br>ISIN: INE920A01011,2018-12-10 13:38:56,2006-10-06,2018-12-10
DONEAR,Donear Industries Limited,Historical prices for Donear Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: DONEAR<br><br>ISIN: INE668D01028,2018-12-10 13:38:56,2006-12-20,2018-12-10
DPL,Dhunseri Petrochem Limited,Historical prices for Dhunseri Petrochem Limited<br><br>National Stock Exchange of India<br><br>Ticker: DPL<br><br>ISIN: INE477B01010,2018-12-10 13:38:56,2014-11-12,2018-12-10
DPSCLTD,DPSC Limited,Historical prices for DPSC Limited<br><br>National Stock Exchange of India<br><br>Ticker: DPSCLTD<br><br>ISIN: INE360C01024,2018-12-10 13:38:56,2008-04-21,2018-12-10
DPTL,Dhunseri Petrochem & Tea Limited,"Historical prices for Dhunseri Petrochem & Tea Limited (DPTL), (ISIN: INE477B01010),  National Stock Exchange of India.",2015-02-09 18:18:14,2010-07-26,2014-11-11
