"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2016","282.20","281.75","283.80","279.20","514.39K","0.20%"
"Sep 26, 2016","281.65","281.00","283.60","280.10","670.06K","-0.21%"
"Sep 23, 2016","282.25","283.30","285.40","281.50","1.23M","-1.09%"
"Sep 22, 2016","285.35","291.50","292.35","284.50","1.75M","-1.48%"
"Sep 21, 2016","289.65","292.80","292.80","288.50","754.70K","-0.55%"
"Sep 20, 2016","291.25","294.15","294.65","290.65","829.87K","-1.07%"
"Sep 19, 2016","294.40","293.70","295.50","291.50","555.00K","0.55%"
"Sep 16, 2016","292.80","294.95","297.50","291.60","787.65K","-0.37%"
"Sep 15, 2016","293.90","293.65","295.50","290.05","879.10K","0.22%"
"Sep 14, 2016","293.25","290.25","294.95","290.25","1.55M","0.95%"
"Sep 12, 2016","290.50","290.00","292.00","285.00","1.24M","-0.79%"
"Sep 09, 2016","292.80","298.00","299.00","292.00","730.79K","-2.02%"
"Sep 08, 2016","298.85","297.05","299.50","295.00","844.06K","0.57%"
"Sep 07, 2016","297.15","298.00","301.00","296.50","990.15K","-0.83%"
"Sep 06, 2016","299.65","297.50","300.45","296.80","886.66K","0.89%"
"Sep 02, 2016","297.00","293.90","297.45","290.60","1.47M","1.11%"
"Sep 01, 2016","293.75","290.60","294.80","290.60","688.68K","1.08%"
"Aug 31, 2016","290.60","293.00","297.50","288.75","1.99M","-1.09%"
"Aug 30, 2016","293.80","288.00","294.90","288.00","1.03M","1.96%"
"Aug 29, 2016","288.15","288.50","288.95","285.85","1.09M","-0.10%"
"Aug 26, 2016","288.45","292.95","293.95","287.10","1.32M","-1.40%"
"Aug 25, 2016","292.55","294.50","295.50","291.10","2.77M","-0.46%"
"Aug 24, 2016","293.90","291.00","294.60","290.00","753.68K","1.07%"
"Aug 23, 2016","290.80","295.75","296.05","289.70","1.95M","-1.67%"
"Aug 22, 2016","295.75","300.00","302.70","294.30","1.34M","-1.33%"
"Aug 19, 2016","299.75","302.80","304.95","299.00","2.11M","-0.81%"
"Aug 18, 2016","302.20","303.00","305.95","301.55","1.71M","-0.41%"
"Aug 17, 2016","303.45","299.80","303.95","298.65","1.30M","1.57%"
"Aug 16, 2016","298.75","298.90","301.70","292.80","5.57M","1.00%"
"Aug 12, 2016","295.80","296.95","297.90","293.75","1.58M","0.42%"
"Aug 11, 2016","294.55","286.70","295.85","282.05","2.37M","2.97%"
"Aug 10, 2016","286.05","290.00","293.90","285.00","1.47M","-1.11%"
"Aug 09, 2016","289.25","292.60","293.90","288.00","1.71M","-1.11%"
"Aug 08, 2016","292.50","296.00","296.85","291.45","1.18M","-1.10%"
"Aug 05, 2016","295.75","296.50","298.00","294.10","772.77K","0.03%"
"Aug 04, 2016","295.65","299.00","300.35","292.75","955.71K","-0.44%"
"Aug 03, 2016","296.95","302.10","303.10","296.10","756.78K","-1.38%"
"Aug 02, 2016","301.10","302.50","305.00","300.00","1.07M","-0.30%"
"Aug 01, 2016","302.00","304.50","305.90","300.60","969.98K","-0.53%"
"Jul 29, 2016","303.60","307.95","307.95","303.05","1.34M","-1.30%"
"Jul 28, 2016","307.60","305.60","309.90","303.20","3.39M","-0.02%"
"Jul 27, 2016","307.65","303.95","310.50","296.15","4.60M","1.53%"
"Jul 26, 2016","303.00","307.00","307.55","302.50","679.29K","-1.25%"
"Jul 25, 2016","306.85","307.70","310.75","304.50","1.15M","-0.24%"
"Jul 22, 2016","307.60","303.20","308.85","302.90","1.33M","0.82%"
"Jul 21, 2016","305.10","306.95","307.45","300.70","882.02K","0.36%"
"Jul 20, 2016","304.00","309.95","311.50","302.05","1.74M","-2.17%"
"Jul 19, 2016","310.75","315.00","316.00","303.40","1.63M","-0.96%"
"Jul 18, 2016","313.75","313.25","316.00","311.25","535.61K","0.56%"
"Jul 15, 2016","312.00","313.05","319.95","310.90","754.49K","-0.56%"
"Jul 14, 2016","313.75","319.85","320.00","312.50","1.07M","-1.09%"
"Jul 13, 2016","317.20","314.20","318.50","313.15","1.95M","1.05%"
"Jul 12, 2016","313.90","315.25","316.40","310.40","777.97K","-0.38%"
"Jul 11, 2016","315.10","313.15","317.75","313.15","1.28M","0.74%"
"Jul 08, 2016","312.80","316.35","316.35","312.15","1.34M","-0.57%"
"Jul 07, 2016","314.60","308.00","315.45","307.55","2.03M","2.14%"
"Jul 05, 2016","308.00","309.00","311.00","307.20","676.08K","0.02%"
"Jul 04, 2016","307.95","310.80","312.20","306.10","901.04K","-0.92%"
"Jul 01, 2016","310.80","308.65","314.00","308.65","1.16M","0.70%"
"Jun 30, 2016","308.65","308.00","310.25","304.60","1.92M","1.40%"
"Jun 29, 2016","304.40","312.90","316.20","301.45","3.34M","-2.75%"
"Jun 28, 2016","313.00","319.80","320.00","311.80","1.69M","-1.85%"
"Jun 27, 2016","318.90","312.00","319.50","311.00","1.20M","2.59%"
"Jun 24, 2016","310.85","303.55","312.20","298.05","1.12M","1.35%"
"Jun 23, 2016","306.70","309.00","310.80","304.95","1.10M","-1.00%"
"Jun 22, 2016","309.80","309.05","313.75","308.60","685.08K","0.00%"
"Jun 21, 2016","309.80","312.90","314.45","307.90","1.07M","-1.10%"
"Jun 20, 2016","313.25","313.55","316.00","311.80","1.06M","-0.60%"
"Jun 17, 2016","315.15","315.20","316.70","311.75","1.06M","0.33%"
"Jun 16, 2016","314.10","312.20","315.25","311.00","829.79K","0.59%"
"Jun 15, 2016","312.25","308.00","313.20","307.25","1.10M","1.41%"
