"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","34,733.58","34,291.92","34,806.64","34,291.92","32.26K","2.15%"
"Oct 11, 2018","34,001.15","34,063.82","34,325.18","33,723.53","31.64K","-2.19%"
"Oct 10, 2018","34,760.89","34,493.21","34,858.35","34,346.50","25.18K","1.35%"
"Oct 09, 2018","34,299.47","34,651.82","34,711.68","34,233.50","31.18K","-0.51%"
"Oct 08, 2018","34,474.38","34,412.36","34,636.43","33,974.66","21.03K","0.28%"
"Oct 05, 2018","34,376.99","35,097.99","35,118.54","34,202.22","22.75K","-2.25%"
"Oct 04, 2018","35,169.16","35,820.53","35,820.53","35,022.12","22.04K","-2.24%"
"Oct 03, 2018","35,975.63","36,602.85","36,602.85","35,911.82","25.86K","-1.51%"
"Oct 01, 2018","36,526.14","36,274.25","36,616.64","35,960.65","22.03K","0.83%"
"Sep 28, 2018","36,227.14","36,452.74","36,551.86","35,985.63","23.52K","-0.27%"
"Sep 27, 2018","36,324.17","36,691.93","36,711.62","36,238.23","18.42K","-0.60%"
"Sep 26, 2018","36,542.27","36,936.64","36,938.74","36,357.93","22.53K","-0.30%"
"Sep 25, 2018","36,652.06","36,350.25","36,705.79","36,064.10","21.15K","0.96%"
"Sep 24, 2018","36,305.02","36,924.72","36,945.50","36,216.95","24.05K","-1.46%"
"Sep 21, 2018","36,841.60","37,278.89","37,489.24","35,993.64","42.41K","-0.75%"
"Sep 19, 2018","37,121.22","37,432.93","37,530.63","37,062.69","13.38K","-0.45%"
"Sep 18, 2018","37,290.67","37,660.19","37,745.44","37,242.85","11.24K","-0.78%"
"Sep 17, 2018","37,585.51","38,027.81","38,027.81","37,548.93","9.09K","-1.33%"
"Sep 14, 2018","38,090.64","37,939.29","38,125.62","37,859.52","12.59K","0.99%"
"Sep 12, 2018","37,717.96","37,546.42","37,752.58","37,342.00","13.97K","0.81%"
"Sep 11, 2018","37,413.13","38,017.49","38,043.27","37,361.20","12.28K","-1.34%"
"Sep 10, 2018","37,922.17","38,348.39","38,354.52","37,882.83","21.14K","-1.22%"
"Sep 07, 2018","38,389.82","38,314.55","38,421.56","38,067.22","19.32K","0.38%"
"Sep 06, 2018","38,242.81","38,161.85","38,320.96","37,912.50","9.59K","0.59%"
"Sep 05, 2018","38,018.31","38,192.95","38,250.61","37,774.42","15.30K","-0.37%"
"Sep 04, 2018","38,157.92","38,460.96","38,518.56","38,098.60","12.89K","-0.40%"
"Sep 03, 2018","38,312.52","38,915.91","38,934.35","38,270.01","12.72K","-0.86%"
"Aug 31, 2018","38,645.07","38,704.84","38,838.45","38,562.21","18.56K","-0.12%"
"Aug 30, 2018","38,690.10","38,796.98","38,819.06","38,581.83","11.10K","-0.08%"
"Aug 29, 2018","38,722.93","38,989.65","38,989.65","38,679.57","11.82K","-0.45%"
"Aug 28, 2018","38,896.63","38,814.76","38,938.91","38,760.58","10.16K","0.52%"
"Aug 27, 2018","38,694.11","38,472.03","38,736.88","38,416.73","11.14K","1.16%"
"Aug 24, 2018","38,251.80","38,366.79","38,429.50","38,172.77","11.03K","-0.22%"
"Aug 23, 2018","38,336.76","38,416.65","38,487.63","38,227.36","11.38K","0.13%"
"Aug 21, 2018","38,285.75","38,360.32","38,402.96","38,213.87","9.19K","0.02%"
"Aug 20, 2018","38,278.75","38,075.07","38,340.69","38,050.69","12.17K","0.87%"
"Aug 17, 2018","37,947.88","37,898.60","38,022.32","37,840.16","10.31K","0.75%"
"Aug 16, 2018","37,663.56","37,796.01","37,891.92","37,634.13","13.37K","-0.50%"
"Aug 14, 2018","37,852.00","37,749.59","37,932.40","37,689.71","11.56K","0.55%"
"Aug 13, 2018","37,644.90","37,693.19","37,799.54","37,559.26","11.77K","-0.59%"
"Aug 10, 2018","37,869.23","38,050.07","38,051.45","37,815.75","16.08K","-0.41%"
"Aug 09, 2018","38,024.37","37,994.51","38,076.23","37,939.28","15.78K","0.36%"
"Aug 08, 2018","37,887.56","37,756.24","37,931.42","37,641.40","9.71K","0.59%"
"Aug 07, 2018","37,665.80","37,849.21","37,876.87","37,586.88","16.41K","-0.07%"
"Aug 06, 2018","37,691.89","37,714.70","37,805.25","37,643.29","12.78K","0.36%"
