"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","10,472.50","10,329.50","10,492.15","10,329.50","353.93K","2.32%"
"Oct 11, 2018","10,234.65","10,169.80","10,335.95","10,138.60","498.51M","-2.16%"
"Oct 10, 2018","10,460.10","10,331.85","10,482.35","10,318.25","373.84M","1.54%"
"Oct 09, 2018","10,301.05","10,390.30","10,397.60","10,279.35","443.80M","-0.45%"
"Oct 08, 2018","10,348.05","10,310.15","10,398.35","10,198.40","470.28M","0.31%"
"Oct 05, 2018","10,316.45","10,514.10","10,540.65","10,261.90","625.15M","-2.67%"
"Oct 04, 2018","10,599.25","10,754.70","10,754.70","10,547.25","438.20M","-2.39%"
"Oct 03, 2018","10,858.25","10,982.70","10,989.05","10,843.75","398.76M","-1.36%"
"Oct 01, 2018","11,008.30","10,930.90","11,035.65","10,821.55","398.99M","0.71%"
"Sep 28, 2018","10,930.45","11,008.10","11,034.10","10,850.30","492.89M","-0.43%"
"Sep 27, 2018","10,977.55","11,079.80","11,089.45","10,953.35","418.21M","-0.69%"
"Sep 26, 2018","11,053.80","11,145.55","11,145.55","10,993.05","351.04M","-0.12%"
"Sep 25, 2018","11,067.45","10,969.95","11,080.60","10,882.85","417.55M","0.91%"
"Sep 24, 2018","10,967.40","11,164.40","11,170.15","10,943.60","398.82M","-1.58%"
"Sep 21, 2018","11,143.10","11,271.30","11,346.80","10,866.45","741.15M","-0.81%"
"Sep 19, 2018","11,234.35","11,326.65","11,332.05","11,210.90","258.42M","-0.39%"
"Sep 18, 2018","11,278.90","11,381.55","11,411.45","11,268.95","248.30M","-0.87%"
"Sep 17, 2018","11,377.75","11,464.95","11,464.95","11,366.90","207.62M","-1.19%"
"Sep 14, 2018","11,515.20","11,443.50","11,523.25","11,430.55","285.22M","1.28%"
"Sep 12, 2018","11,369.90","11,340.10","11,380.75","11,250.20","276.51M","0.73%"
"Sep 11, 2018","11,287.50","11,476.85","11,479.40","11,274.00","318.09M","-1.32%"
"Sep 10, 2018","11,438.10","11,570.25","11,573.00","11,427.30","295.60M","-1.30%"
"Sep 07, 2018","11,589.10","11,558.25","11,603.00","11,484.40","305.03M","0.45%"
"Sep 06, 2018","11,536.90","11,514.15","11,562.25","11,436.05","255.56M","0.52%"
"Sep 05, 2018","11,476.95","11,514.85","11,542.65","11,393.85","253.69M","-0.38%"
"Sep 04, 2018","11,520.30","11,598.75","11,602.55","11,496.85","262.70M","-0.54%"
"Sep 03, 2018","11,582.35","11,751.80","11,751.80","11,567.40","241.73M","-0.84%"
"Aug 31, 2018","11,680.50","11,675.85","11,727.65","11,640.10","357.23M","0.03%"
"Aug 30, 2018","11,676.80","11,694.75","11,698.80","11,639.70","323.45M","-0.13%"
"Aug 29, 2018","11,691.90","11,744.95","11,753.20","11,678.85","259.35M","-0.40%"
"Aug 28, 2018","11,738.50","11,731.95","11,760.20","11,710.50","249.42M","0.40%"
"Aug 27, 2018","11,691.95","11,605.85","11,700.95","11,595.60","205.69M","1.17%"
"Aug 24, 2018","11,557.10","11,566.60","11,604.60","11,532.00","225.60M","-0.22%"
"Aug 23, 2018","11,582.75","11,620.70","11,620.70","11,546.70","256.16M","0.10%"
